timestamp,ue_id,rsrp,latency,throughput,label
0,1,-80,24,45,0
0,2,-75,22,49,0
0,3,-85,28,44,0
0.1,1,-80,25,45,0
0.1,2,-74,24,49,0
0.1,3,-85,26,41,0
0.2,1,-80,24,44,0
0.2,2,-74,24,47,0
0.2,3,-84,26,42,0
0.3,1,-80,25,43,0
0.3,2,-74,23,48,0
0.3,3,-86,30,42,0
0.4,1,-80,24,44,0
0.4,2,-75,22,47,0
0.4,3,-86,30,44,0
0.5,1,-80,26,47,0
0.5,2,-74,23,47,0
0.5,3,-85,27,40,0
0.6,1,-79,26,45,0
0.6,2,-74,21,47,0
0.6,3,-86,26,44,0
0.7,1,-81,24,43,0
0.7,2,-75,22,47,0
0.7,3,-84,30,40,0
0.8,1,-81,23,47,0
0.8,2,-76,23,46,0
0.8,3,-86,26,42,0
0.9,1,-81,24,46,0
0.9,2,-74,21,49,0
0.9,3,-84,30,44,0
1,1,-81,23,44,0
1,2,-76,24,46,0
1,3,-85,27,44,0
1.1,1,-79,23,43,0
1.1,2,-74,23,49,0
1.1,3,-86,28,42,0
1.2,1,-81,25,45,0
1.2,2,-74,22,46,0
1.2,3,-84,27,40,0
1.3,1,-79,27,47,0
1.3,2,-75,22,49,0
1.3,3,-85,28,41,0
1.4,1,-81,23,47,0
1.4,2,-75,24,46,0
1.4,3,-84,29,41,0
1.5,1,-79,24,46,0
1.5,2,-74,21,46,0
1.5,3,-86,28,44,0
1.6,1,-81,27,43,0
1.6,2,-76,21,49,0
1.6,3,-85,30,41,0
1.7,1,-79,26,43,0
1.7,2,-74,24,47,0
1.7,3,-84,30,43,0
1.8,1,-79,26,44,0
1.8,2,-74,22,46,0
1.8,3,-84,30,44,0
1.9,1,-80,25,44,0
1.9,2,-76,24,49,0
1.9,3,-85,30,41,0
1,1,-92,34,28,1
1,2,-90,33,32,1
1,3,-89,32,33,1
1.1,1,-92,37,28,1
1.1,2,-91,31,31,1
1.1,3,-87,34,31,1
1.2,1,-93,37,27,1
1.2,2,-90,33,32,1
1.2,3,-87,34,31,1
1.3,1,-92,37,29,1
1.3,2,-91,30,30,1
1.3,3,-89,33,31,1
1.4,1,-91,36,26,1
1.4,2,-89,32,32,1
1.4,3,-88,31,34,1
